code,display_name,line_item_description,kind,type_code,category_code,unit_type_ref,unit_cost,buy_cost,markup_type,markup_value,tax_rate,pricing_mode,fixed_unit_cost,external_reference
EQ-FAN,Axial fan hire,Hire axial fan per day for drying and ventilation during repairs,primitive,equipment,general,ea,66.00,55.00,percent,20,0.10,,,
EQ-DRAIN-JET,Drain jetter hire,Hire high pressure drain jetter per day with operator allowance,primitive,equipment,plumbing,ea,336.00,280.00,percent,20,0.10,,,
EQ-CCTV,Drain camera hire,Hire drain CCTV inspection unit per day,primitive,equipment,plumbing,ea,228.00,190.00,percent,20,0.10,,,
EQ-CORE-DRILL,Core drill hire,Hire core drill unit per day for slab or wall penetrations,primitive,equipment,general,ea,78.00,65.00,percent,20,0.10,,,
EQ-FLOOR-SAND,Floor sander hire,Hire drum floor sander per day for timber floor restoration,primitive,equipment,carpentry,ea,144.00,120.00,percent,20,0.10,,,
EQ-CONCRETE-CUT,Concrete cutter hire,Hire concrete cut off saw per day for patch breakout,primitive,equipment,general,ea,96.00,80.00,percent,20,0.10,,,
EQ-LIFT-1,Material lift hire,Hire material hoist per day for multi-storey material handling,primitive,equipment,general,ea,180.00,150.00,percent,20,0.10,,,
EQ-GEN-1,Generator hire 2kVA,Hire 2kVA portable generator per day for temporary power,primitive,equipment,electrical,ea,84.00,70.00,percent,20,0.10,,,
EQ-GEN-2,Generator hire 6kVA,Hire 6kVA portable generator per day for tools and temporary supply,primitive,equipment,electrical,ea,156.00,130.00,percent,20,0.10,,,
EQ-LIGHT-TOWER,Light tower hire,Hire portable light tower per day for after hours make safe,primitive,equipment,general,ea,114.00,95.00,percent,20,0.10,,,
EQ-HEPA-VAC,HEPA vacuum hire,Hire commercial HEPA vacuum per day for remediation works,primitive,equipment,general,ea,105.60,88.00,percent,20,0.10,,,
EQ-PUMP-SUB,Submersible pump hire,Hire submersible pump per day for flood water extraction,primitive,equipment,plumbing,ea,72.00,60.00,percent,20,0.10,,,
EQ-MOIST-MTR,Moisture meter hire,Hire moisture meter per day for drying verification readings,primitive,equipment,general,ea,42.00,35.00,percent,20,0.10,,,
EQ-TILE-CUT,Tile cutter hire,Hire wet tile cutter per day for floor and wall tiling works,primitive,equipment,general,ea,54.00,45.00,percent,20,0.10,,,
EQ-PLASTER-BOOM,Plasterboard lift,Hire plasterboard panel lift per day for ceiling sheet install,primitive,equipment,plastering,ea,90.00,75.00,percent,20,0.10,,,
EQ-NAIL-GUN,Framing nailer hire,Hire compressed air framing nailer per day for rebuild framing,primitive,equipment,carpentry,ea,66.00,55.00,percent,20,0.10,,,
EQ-COMPRESSOR,Air compressor hire,Hire portable air compressor per day to run pneumatic tools,primitive,equipment,general,ea,60.00,50.00,percent,20,0.10,,,
EQ-ROOF-HAR,Roof harness kit,Hire roof safety harness and anchor kit per day,primitive,equipment,general,ea,48.00,40.00,percent,20,0.10,,,
EQ-EXC-MINI,Mini excavator hire,Hire mini excavator per day for footing or drainage excavation,primitive,equipment,general,ea,540.00,450.00,percent,20,0.10,,,
VND-ASB-REMOVAL,Asbestos removal,Subcontract licensed asbestos removal including clearance certificate,primitive,vendor,general,ea,3360.00,2800.00,percent,20,0.10,,,
VND-ASB-FRIABLE,Friable asbestos removal,Subcontract friable asbestos removal with full enclosure and air monitoring,primitive,vendor,general,ea,7800.00,6500.00,percent,20,0.10,,,
VND-ROOF-REP,Roof plumbing subcontract,Subcontract roof plumber to replace valley irons and flashings,primitive,vendor,general,ea,2220.00,1850.00,percent,20,0.10,,,
VND-ROOF-METAL,Metal roof replacement,Subcontract colorbond roof sheet replacement to matched profile,primitive,vendor,general,ea,5040.00,4200.00,percent,20,0.10,,,
VND-GLAZ-1,Glazier single window,Subcontract glazier to supply and install single aluminium window unit,primitive,vendor,carpentry,ea,816.00,680.00,percent,20,0.10,,,
VND-GLAZ-2,Glazed sliding door,Subcontract supply and install aluminium sliding door with safety glass,primitive,vendor,carpentry,ea,1740.00,1450.00,percent,20,0.10,,,
VND-SPRINKLER,Fire sprinkler repair,Subcontract fire sprinkler fitter to repair damaged head and pipework,primitive,vendor,plumbing,ea,1104.00,920.00,percent,20,0.10,,,
VND-SECURITY,Security system repair,Subcontract security technician to replace panel and sensors,primitive,vendor,electrical,ea,936.00,780.00,percent,20,0.10,,,
VND-POOL-FENCE,Pool fence compliance,Subcontract pool fence supply and install to compliance standard,primitive,vendor,general,ea,2640.00,2200.00,percent,20,0.10,,,
VND-TERMITE,Termite treatment,Subcontract termite barrier treatment to affected subfloor zone,primitive,vendor,general,ea,1980.00,1650.00,percent,20,0.10,,,
VND-ENGINEER,Engineer inspection,Subcontract structural engineer site inspection and written report,primitive,vendor,general,ea,1068.00,890.00,percent,20,0.10,,,
VND-SURVEY,Surveyor set out,Subcontract surveyor set out for boundary or building alignment,primitive,vendor,general,ea,900.00,750.00,percent,20,0.10,,,
VND-HYDRO,Hydro excavation,Subcontract non destructive hydro excavation near services,primitive,vendor,plumbing,ea,1440.00,1200.00,percent,20,0.10,,,
VND-STEEL-FAB,Steel fabricator,Subcontract steel fabricator for lintel or bearer replacement,primitive,vendor,carpentry,ea,1176.00,980.00,percent,20,0.10,,,
VND-KITCH-FAB,Kitchen manufacturer,Subcontract kitchen manufacturer supply flat pack or custom cabinets,primitive,vendor,carpentry,ea,6720.00,5600.00,percent,20,0.10,,,
VND-STONE-BENCH,Stone benchtop,Subcontract stone benchtop template supply and install,primitive,vendor,carpentry,ea,3840.00,3200.00,percent,20,0.10,,,
VND-SOLAR-DIS,Solar disconnect,Subcontract electrician to isolate and reconnect rooftop solar system,primitive,vendor,electrical,ea,780.00,650.00,percent,20,0.10,,,
VND-EVAP-AC,Evaporative AC service,Subcontract service and repair evaporative air conditioning unit,primitive,vendor,general,ea,576.00,480.00,percent,20,0.10,,,
VND-SPLIT-AC,Split system AC,Subcontract supply and install split system air conditioner,primitive,vendor,general,ea,2520.00,2100.00,percent,20,0.10,,,
VND-FLOOD-REST,Flood restoration co,Subcontract flood restoration company initial extraction and dry out,primitive,vendor,general,ea,2280.00,1900.00,percent,20,0.10,,,
VND-MOULD-CERT,Mould clearance test,Subcontract independent mould clearance sampling and laboratory report,primitive,vendor,general,ea,504.00,420.00,percent,20,0.10,,,
VND-ARBORIST,Arborist tree work,Subcontract arborist to remove tree damaging structure,primitive,vendor,general,ea,1320.00,1100.00,percent,20,0.10,,,
VND-PIER-REP,Underpinning contractor,Subcontract underpinning or pier replacement to stabilise footing,primitive,vendor,general,ea,10200.00,8500.00,percent,20,0.10,,,
VND-FENC-COLOR,Colorbond fencing,Subcontract colorbond boundary fencing per linear metre supply and install,primitive,vendor,general,ea,288.00,240.00,percent,20,0.10,,,
VND-DRIVE-REP,Driveway specialist,Subcontract driveway repair including cut out and reinstatement,primitive,vendor,general,ea,3840.00,3200.00,percent,20,0.10,,,
VND-ALARM-MON,Alarm monitoring,Subcontract alarm monitoring reconnection fee for restored premises,primitive,vendor,electrical,ea,216.00,180.00,percent,20,0.10,,,
VND-LOCKSMITH,Locksmith rekey,Subcontract locksmith to rekey all external doors after damage,primitive,vendor,carpentry,ea,384.00,320.00,percent,20,0.10,,,
VND-CLEAN-DEEP,Specialist deep clean,Subcontract specialist deep clean after fire or sewage contamination,primitive,vendor,general,ea,816.00,680.00,percent,20,0.10,,,
VND-PEST-TREAT,Pest treatment,Subcontract pest controller treatment after rodent or insect damage,primitive,vendor,general,ea,348.00,290.00,percent,20,0.10,,,
VND-INSULATION-BLOW,Blown insulation,Subcontract blown insulation installer to required ceiling R-value,primitive,vendor,plastering,ea,16.80,14.00,percent,20,0.10,,,
OTH-BLD-PERM,Building permit fee,Council building permit fee allowance for repair works,primitive,other,general,ea,540.00,450.00,percent,20,0.10,,,
OTH-PLM-PERM,Plumbing permit fee,Plumbing compliance certificate and permit fee allowance,primitive,other,general,ea,216.00,180.00,percent,20,0.10,,,
OTH-ELE-COC,Electrical CoC fee,Electrical certificate of compliance and inspection fee allowance,primitive,other,general,ea,264.00,220.00,percent,20,0.10,,,
OTH-WASTE-TIP,Landfill gate fee,Landfill gate fee allowance per tonne for mixed construction waste,primitive,other,general,ea,114.00,95.00,percent,20,0.10,,,
OTH-ENV-FEE,Environmental levy,Environmental levy on waste disposal for insurance repair debris,primitive,other,general,ea,42.00,35.00,percent,20,0.10,,,
OTH-PC-ITEM,PC item allowance,Prime cost allowance item for owner selected fixture not yet specified,primitive,other,general,ea,600.00,500.00,percent,20,0.10,,,
OTH-PS-ITEM,Provisional sum,Provisional sum allowance for unforeseen repair scope discovered on site,primitive,other,general,ea,1800.00,1500.00,percent,20,0.10,,,
OTH-INS-EXCESS,Policy excess admin,Administrative handling of policy excess for insured repair claim,primitive,other,general,ea,60.00,50.00,percent,20,0.10,,,
OTH-QUOTE-VISIT,Quote site visit,Allowance for initial site inspection and scope documentation visit,primitive,other,general,ea,144.00,120.00,percent,20,0.10,,,
OTH-PHOTO-DOC,Photo documentation,Allowance for photographic condition documentation for insurer report,primitive,other,general,ea,102.00,85.00,percent,20,0.10,,,
OTH-AFTER-HRS,After hours call out,After hours emergency call out fee for make safe attendance,primitive,other,general,ea,336.00,280.00,percent,20,0.10,,,
OTH-WEEKEND,Weekend loading,Weekend labour loading allowance on approved restoration works,primitive,other,general,ea,60.00,50.00,percent,20,0.10,,,
OTH-REMOTE,Remote location load,Remote location loading allowance for travel zone repairs,primitive,other,general,ea,420.00,350.00,percent,20,0.10,,,
OTH-STORE-HIRE,Storage pod hire,Storage pod hire per month for contents during building repairs,primitive,other,general,ea,384.00,320.00,percent,20,0.10,,,
OTH-CONTENTS-MOVE,Contents pack out,Allowance for contents pack out and inventory for storage,primitive,other,general,ea,816.00,680.00,percent,20,0.10,,,
OTH-CONTENTS-IN,Contents pack in,Allowance for contents pack back after repairs complete,primitive,other,general,ea,816.00,680.00,percent,20,0.10,,,
OTH-TEMP-KITCH,Temporary kitchen,Hire temporary kitchen pod during kitchen restoration works,primitive,other,general,ea,1068.00,890.00,percent,20,0.10,,,
OTH-TEMP-BATH,Temporary bathroom,Hire temporary bathroom pod during wet area restoration,primitive,other,general,ea,1140.00,950.00,percent,20,0.10,,,
OTH-SECURITY-BOARD,Security board up,Supply and install security board up to openings after break-in damage,primitive,other,general,ea,504.00,420.00,percent,20,0.10,,,
OTH-TARP-ROOF,Emergency roof tarp,Supply and secure heavy duty tarpaulin over damaged roof area,primitive,other,general,ea,456.00,380.00,percent,20,0.10,,,
MAT-VAR-GPO-001,Power outlet variant 1,Supply and install power outlet variant to match existing wiring — item 1 for insurance repair scope scheduling,primitive,material,electrical,ea,17.04,14.20,percent,20,0.10,,,
MAT-VAR-CABLE-002,Cable run variant 2,Supply additional cable and conduit for circuit extension — item 2 for insurance repair scope scheduling,primitive,material,electrical,ea,19.68,16.40,percent,20,0.10,,,
MAT-VAR-FITTING-003,Pipe fitting variant 3,Supply brass or PVC fitting for pipe repair junction — item 3 for insurance repair scope scheduling,primitive,material,plumbing,ea,22.32,18.60,percent,20,0.10,,,
MAT-VAR-SEALANT-004,Plumbing sealant 4,Supply plumbing grade sealant and thread tape for joint completion — item 4 for insurance repair scope scheduling,primitive,material,plumbing,ea,24.96,20.80,percent,20,0.10,,,
MAT-VAR-BEAD-005,Plaster bead variant 5,Supply plaster bead or trim for junction detail — item 5 for insurance repair scope scheduling,primitive,material,plastering,ea,27.60,23.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-006,Construction adhesive 6,Supply construction adhesive for sheet or trim bonding — item 6 for insurance repair scope scheduling,primitive,material,plastering,ea,30.24,25.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-007,Fixings pack 7,Supply nails screws and anchors pack for carpentry repair — item 7 for insurance repair scope scheduling,primitive,material,carpentry,ea,32.88,27.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-008,Timber adhesive 8,Supply polyurethane timber adhesive for splice joint — item 8 for insurance repair scope scheduling,primitive,material,carpentry,ea,35.52,29.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-009,Consumable allowance 9,Supply consumable allowance for blades bits and sundries on repair job — item 9 for insurance repair scope scheduling,primitive,material,general,ea,38.16,31.80,percent,20,0.10,,,
MAT-VAR-SEAL-010,Silicone sealant 10,Supply neutral cure silicone for wet area perimeter seal — item 10 for insurance repair scope scheduling,primitive,material,general,ea,40.80,34.00,percent,20,0.10,,,
MAT-VAR-GPO-011,Power outlet variant 11,Supply and install power outlet variant to match existing wiring — item 11 for insurance repair scope scheduling,primitive,material,electrical,ea,43.44,36.20,percent,20,0.10,,,
MAT-VAR-CABLE-012,Cable run variant 12,Supply additional cable and conduit for circuit extension — item 12 for insurance repair scope scheduling,primitive,material,electrical,ea,46.08,38.40,percent,20,0.10,,,
MAT-VAR-FITTING-013,Pipe fitting variant 13,Supply brass or PVC fitting for pipe repair junction — item 13 for insurance repair scope scheduling,primitive,material,plumbing,ea,48.72,40.60,percent,20,0.10,,,
MAT-VAR-SEALANT-014,Plumbing sealant 14,Supply plumbing grade sealant and thread tape for joint completion — item 14 for insurance repair scope scheduling,primitive,material,plumbing,ea,51.36,42.80,percent,20,0.10,,,
MAT-VAR-BEAD-015,Plaster bead variant 15,Supply plaster bead or trim for junction detail — item 15 for insurance repair scope scheduling,primitive,material,plastering,ea,54.00,45.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-016,Construction adhesive 16,Supply construction adhesive for sheet or trim bonding — item 16 for insurance repair scope scheduling,primitive,material,plastering,ea,56.64,47.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-017,Fixings pack 17,Supply nails screws and anchors pack for carpentry repair — item 17 for insurance repair scope scheduling,primitive,material,carpentry,ea,59.28,49.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-018,Timber adhesive 18,Supply polyurethane timber adhesive for splice joint — item 18 for insurance repair scope scheduling,primitive,material,carpentry,ea,61.92,51.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-019,Consumable allowance 19,Supply consumable allowance for blades bits and sundries on repair job — item 19 for insurance repair scope scheduling,primitive,material,general,ea,64.56,53.80,percent,20,0.10,,,
MAT-VAR-SEAL-020,Silicone sealant 20,Supply neutral cure silicone for wet area perimeter seal — item 20 for insurance repair scope scheduling,primitive,material,general,ea,67.20,56.00,percent,20,0.10,,,
MAT-VAR-GPO-021,Power outlet variant 21,Supply and install power outlet variant to match existing wiring — item 21 for insurance repair scope scheduling,primitive,material,electrical,ea,69.84,58.20,percent,20,0.10,,,
MAT-VAR-CABLE-022,Cable run variant 22,Supply additional cable and conduit for circuit extension — item 22 for insurance repair scope scheduling,primitive,material,electrical,ea,72.48,60.40,percent,20,0.10,,,
MAT-VAR-FITTING-023,Pipe fitting variant 23,Supply brass or PVC fitting for pipe repair junction — item 23 for insurance repair scope scheduling,primitive,material,plumbing,ea,75.12,62.60,percent,20,0.10,,,
MAT-VAR-SEALANT-024,Plumbing sealant 24,Supply plumbing grade sealant and thread tape for joint completion — item 24 for insurance repair scope scheduling,primitive,material,plumbing,ea,77.76,64.80,percent,20,0.10,,,
MAT-VAR-BEAD-025,Plaster bead variant 25,Supply plaster bead or trim for junction detail — item 25 for insurance repair scope scheduling,primitive,material,plastering,ea,80.40,67.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-026,Construction adhesive 26,Supply construction adhesive for sheet or trim bonding — item 26 for insurance repair scope scheduling,primitive,material,plastering,ea,83.04,69.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-027,Fixings pack 27,Supply nails screws and anchors pack for carpentry repair — item 27 for insurance repair scope scheduling,primitive,material,carpentry,ea,85.68,71.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-028,Timber adhesive 28,Supply polyurethane timber adhesive for splice joint — item 28 for insurance repair scope scheduling,primitive,material,carpentry,ea,88.32,73.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-029,Consumable allowance 29,Supply consumable allowance for blades bits and sundries on repair job — item 29 for insurance repair scope scheduling,primitive,material,general,ea,90.96,75.80,percent,20,0.10,,,
MAT-VAR-SEAL-030,Silicone sealant 30,Supply neutral cure silicone for wet area perimeter seal — item 30 for insurance repair scope scheduling,primitive,material,general,ea,93.60,78.00,percent,20,0.10,,,
MAT-VAR-GPO-031,Power outlet variant 31,Supply and install power outlet variant to match existing wiring — item 31 for insurance repair scope scheduling,primitive,material,electrical,ea,96.24,80.20,percent,20,0.10,,,
MAT-VAR-CABLE-032,Cable run variant 32,Supply additional cable and conduit for circuit extension — item 32 for insurance repair scope scheduling,primitive,material,electrical,ea,98.88,82.40,percent,20,0.10,,,
MAT-VAR-FITTING-033,Pipe fitting variant 33,Supply brass or PVC fitting for pipe repair junction — item 33 for insurance repair scope scheduling,primitive,material,plumbing,ea,101.52,84.60,percent,20,0.10,,,
MAT-VAR-SEALANT-034,Plumbing sealant 34,Supply plumbing grade sealant and thread tape for joint completion — item 34 for insurance repair scope scheduling,primitive,material,plumbing,ea,104.16,86.80,percent,20,0.10,,,
MAT-VAR-BEAD-035,Plaster bead variant 35,Supply plaster bead or trim for junction detail — item 35 for insurance repair scope scheduling,primitive,material,plastering,ea,106.80,89.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-036,Construction adhesive 36,Supply construction adhesive for sheet or trim bonding — item 36 for insurance repair scope scheduling,primitive,material,plastering,ea,109.44,91.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-037,Fixings pack 37,Supply nails screws and anchors pack for carpentry repair — item 37 for insurance repair scope scheduling,primitive,material,carpentry,ea,112.08,93.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-038,Timber adhesive 38,Supply polyurethane timber adhesive for splice joint — item 38 for insurance repair scope scheduling,primitive,material,carpentry,ea,114.72,95.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-039,Consumable allowance 39,Supply consumable allowance for blades bits and sundries on repair job — item 39 for insurance repair scope scheduling,primitive,material,general,ea,117.36,97.80,percent,20,0.10,,,
MAT-VAR-SEAL-040,Silicone sealant 40,Supply neutral cure silicone for wet area perimeter seal — item 40 for insurance repair scope scheduling,primitive,material,general,ea,14.40,12.00,percent,20,0.10,,,
MAT-VAR-GPO-041,Power outlet variant 41,Supply and install power outlet variant to match existing wiring — item 41 for insurance repair scope scheduling,primitive,material,electrical,ea,17.04,14.20,percent,20,0.10,,,
MAT-VAR-CABLE-042,Cable run variant 42,Supply additional cable and conduit for circuit extension — item 42 for insurance repair scope scheduling,primitive,material,electrical,ea,19.68,16.40,percent,20,0.10,,,
MAT-VAR-FITTING-043,Pipe fitting variant 43,Supply brass or PVC fitting for pipe repair junction — item 43 for insurance repair scope scheduling,primitive,material,plumbing,ea,22.32,18.60,percent,20,0.10,,,
MAT-VAR-SEALANT-044,Plumbing sealant 44,Supply plumbing grade sealant and thread tape for joint completion — item 44 for insurance repair scope scheduling,primitive,material,plumbing,ea,24.96,20.80,percent,20,0.10,,,
MAT-VAR-BEAD-045,Plaster bead variant 45,Supply plaster bead or trim for junction detail — item 45 for insurance repair scope scheduling,primitive,material,plastering,ea,27.60,23.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-046,Construction adhesive 46,Supply construction adhesive for sheet or trim bonding — item 46 for insurance repair scope scheduling,primitive,material,plastering,ea,30.24,25.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-047,Fixings pack 47,Supply nails screws and anchors pack for carpentry repair — item 47 for insurance repair scope scheduling,primitive,material,carpentry,ea,32.88,27.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-048,Timber adhesive 48,Supply polyurethane timber adhesive for splice joint — item 48 for insurance repair scope scheduling,primitive,material,carpentry,ea,35.52,29.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-049,Consumable allowance 49,Supply consumable allowance for blades bits and sundries on repair job — item 49 for insurance repair scope scheduling,primitive,material,general,ea,38.16,31.80,percent,20,0.10,,,
MAT-VAR-SEAL-050,Silicone sealant 50,Supply neutral cure silicone for wet area perimeter seal — item 50 for insurance repair scope scheduling,primitive,material,general,ea,40.80,34.00,percent,20,0.10,,,
MAT-VAR-GPO-051,Power outlet variant 51,Supply and install power outlet variant to match existing wiring — item 51 for insurance repair scope scheduling,primitive,material,electrical,ea,43.44,36.20,percent,20,0.10,,,
MAT-VAR-CABLE-052,Cable run variant 52,Supply additional cable and conduit for circuit extension — item 52 for insurance repair scope scheduling,primitive,material,electrical,ea,46.08,38.40,percent,20,0.10,,,
MAT-VAR-FITTING-053,Pipe fitting variant 53,Supply brass or PVC fitting for pipe repair junction — item 53 for insurance repair scope scheduling,primitive,material,plumbing,ea,48.72,40.60,percent,20,0.10,,,
MAT-VAR-SEALANT-054,Plumbing sealant 54,Supply plumbing grade sealant and thread tape for joint completion — item 54 for insurance repair scope scheduling,primitive,material,plumbing,ea,51.36,42.80,percent,20,0.10,,,
MAT-VAR-BEAD-055,Plaster bead variant 55,Supply plaster bead or trim for junction detail — item 55 for insurance repair scope scheduling,primitive,material,plastering,ea,54.00,45.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-056,Construction adhesive 56,Supply construction adhesive for sheet or trim bonding — item 56 for insurance repair scope scheduling,primitive,material,plastering,ea,56.64,47.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-057,Fixings pack 57,Supply nails screws and anchors pack for carpentry repair — item 57 for insurance repair scope scheduling,primitive,material,carpentry,ea,59.28,49.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-058,Timber adhesive 58,Supply polyurethane timber adhesive for splice joint — item 58 for insurance repair scope scheduling,primitive,material,carpentry,ea,61.92,51.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-059,Consumable allowance 59,Supply consumable allowance for blades bits and sundries on repair job — item 59 for insurance repair scope scheduling,primitive,material,general,ea,64.56,53.80,percent,20,0.10,,,
MAT-VAR-SEAL-060,Silicone sealant 60,Supply neutral cure silicone for wet area perimeter seal — item 60 for insurance repair scope scheduling,primitive,material,general,ea,67.20,56.00,percent,20,0.10,,,
MAT-VAR-GPO-061,Power outlet variant 61,Supply and install power outlet variant to match existing wiring — item 61 for insurance repair scope scheduling,primitive,material,electrical,ea,69.84,58.20,percent,20,0.10,,,
MAT-VAR-CABLE-062,Cable run variant 62,Supply additional cable and conduit for circuit extension — item 62 for insurance repair scope scheduling,primitive,material,electrical,ea,72.48,60.40,percent,20,0.10,,,
MAT-VAR-FITTING-063,Pipe fitting variant 63,Supply brass or PVC fitting for pipe repair junction — item 63 for insurance repair scope scheduling,primitive,material,plumbing,ea,75.12,62.60,percent,20,0.10,,,
MAT-VAR-SEALANT-064,Plumbing sealant 64,Supply plumbing grade sealant and thread tape for joint completion — item 64 for insurance repair scope scheduling,primitive,material,plumbing,ea,77.76,64.80,percent,20,0.10,,,
MAT-VAR-BEAD-065,Plaster bead variant 65,Supply plaster bead or trim for junction detail — item 65 for insurance repair scope scheduling,primitive,material,plastering,ea,80.40,67.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-066,Construction adhesive 66,Supply construction adhesive for sheet or trim bonding — item 66 for insurance repair scope scheduling,primitive,material,plastering,ea,83.04,69.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-067,Fixings pack 67,Supply nails screws and anchors pack for carpentry repair — item 67 for insurance repair scope scheduling,primitive,material,carpentry,ea,85.68,71.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-068,Timber adhesive 68,Supply polyurethane timber adhesive for splice joint — item 68 for insurance repair scope scheduling,primitive,material,carpentry,ea,88.32,73.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-069,Consumable allowance 69,Supply consumable allowance for blades bits and sundries on repair job — item 69 for insurance repair scope scheduling,primitive,material,general,ea,90.96,75.80,percent,20,0.10,,,
MAT-VAR-SEAL-070,Silicone sealant 70,Supply neutral cure silicone for wet area perimeter seal — item 70 for insurance repair scope scheduling,primitive,material,general,ea,93.60,78.00,percent,20,0.10,,,
MAT-VAR-GPO-071,Power outlet variant 71,Supply and install power outlet variant to match existing wiring — item 71 for insurance repair scope scheduling,primitive,material,electrical,ea,96.24,80.20,percent,20,0.10,,,
MAT-VAR-CABLE-072,Cable run variant 72,Supply additional cable and conduit for circuit extension — item 72 for insurance repair scope scheduling,primitive,material,electrical,ea,98.88,82.40,percent,20,0.10,,,
MAT-VAR-FITTING-073,Pipe fitting variant 73,Supply brass or PVC fitting for pipe repair junction — item 73 for insurance repair scope scheduling,primitive,material,plumbing,ea,101.52,84.60,percent,20,0.10,,,
MAT-VAR-SEALANT-074,Plumbing sealant 74,Supply plumbing grade sealant and thread tape for joint completion — item 74 for insurance repair scope scheduling,primitive,material,plumbing,ea,104.16,86.80,percent,20,0.10,,,
MAT-VAR-BEAD-075,Plaster bead variant 75,Supply plaster bead or trim for junction detail — item 75 for insurance repair scope scheduling,primitive,material,plastering,ea,106.80,89.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-076,Construction adhesive 76,Supply construction adhesive for sheet or trim bonding — item 76 for insurance repair scope scheduling,primitive,material,plastering,ea,109.44,91.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-077,Fixings pack 77,Supply nails screws and anchors pack for carpentry repair — item 77 for insurance repair scope scheduling,primitive,material,carpentry,ea,112.08,93.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-078,Timber adhesive 78,Supply polyurethane timber adhesive for splice joint — item 78 for insurance repair scope scheduling,primitive,material,carpentry,ea,114.72,95.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-079,Consumable allowance 79,Supply consumable allowance for blades bits and sundries on repair job — item 79 for insurance repair scope scheduling,primitive,material,general,ea,117.36,97.80,percent,20,0.10,,,
MAT-VAR-SEAL-080,Silicone sealant 80,Supply neutral cure silicone for wet area perimeter seal — item 80 for insurance repair scope scheduling,primitive,material,general,ea,14.40,12.00,percent,20,0.10,,,
MAT-VAR-GPO-081,Power outlet variant 81,Supply and install power outlet variant to match existing wiring — item 81 for insurance repair scope scheduling,primitive,material,electrical,ea,17.04,14.20,percent,20,0.10,,,
MAT-VAR-CABLE-082,Cable run variant 82,Supply additional cable and conduit for circuit extension — item 82 for insurance repair scope scheduling,primitive,material,electrical,ea,19.68,16.40,percent,20,0.10,,,
MAT-VAR-FITTING-083,Pipe fitting variant 83,Supply brass or PVC fitting for pipe repair junction — item 83 for insurance repair scope scheduling,primitive,material,plumbing,ea,22.32,18.60,percent,20,0.10,,,
MAT-VAR-SEALANT-084,Plumbing sealant 84,Supply plumbing grade sealant and thread tape for joint completion — item 84 for insurance repair scope scheduling,primitive,material,plumbing,ea,24.96,20.80,percent,20,0.10,,,
MAT-VAR-BEAD-085,Plaster bead variant 85,Supply plaster bead or trim for junction detail — item 85 for insurance repair scope scheduling,primitive,material,plastering,ea,27.60,23.00,percent,20,0.10,,,
MAT-VAR-ADHESIVE-086,Construction adhesive 86,Supply construction adhesive for sheet or trim bonding — item 86 for insurance repair scope scheduling,primitive,material,plastering,ea,30.24,25.20,percent,20,0.10,,,
MAT-VAR-FIXINGS-087,Fixings pack 87,Supply nails screws and anchors pack for carpentry repair — item 87 for insurance repair scope scheduling,primitive,material,carpentry,ea,32.88,27.40,percent,20,0.10,,,
MAT-VAR-ADHESIVE-088,Timber adhesive 88,Supply polyurethane timber adhesive for splice joint — item 88 for insurance repair scope scheduling,primitive,material,carpentry,ea,35.52,29.60,percent,20,0.10,,,
MAT-VAR-CONSUMABLE-089,Consumable allowance 89,Supply consumable allowance for blades bits and sundries on repair job — item 89 for insurance repair scope scheduling,primitive,material,general,ea,38.16,31.80,percent,20,0.10,,,
MAT-VAR-SEAL-090,Silicone sealant 90,Supply neutral cure silicone for wet area perimeter seal — item 90 for insurance repair scope scheduling,primitive,material,general,ea,40.80,34.00,percent,20,0.10,,,
